乌力,石,木,皮,骨,线,1,10,4.50,20,12,15,25,150,11,80,20,0,0,0,0,0,0,0,0,1,,,,,,,0,1,1,7,100250,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0
乌力乌力,石,木,骨,线,牙,2,20,4.50,22,23,11,23,100,11,0,40,60,0,0,0,0,0,0,0,1,2,,,,,,0,1,1,7,100251,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0
乌力斯坦,石,木,皮,骨,线,3,15,4.50,22,17,19,17,150,11,100,0,0,0,0,0,0,0,0,0,1,20,,,,,,0,1,1,7,100252,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0
乌力布鲁,石,木,骨,线,牙,4,10,4.50,25,23,19,33,300,-1,0,0,70,30,0,0,0,0,0,0,1,150,11,,,,,1,10,10,7,100253,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0
黑乌力,石,木,皮,骨,线,5,20,4.50,22,22,24,27,300,-1,50,0,0,50,0,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,1,10,10,7,100388,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0
乌力斯坦,石,木,皮,骨,线,6,25,4.50,30,24,27,24,100,11,50,0,0,50,0,0,0,0,0,0,1,20,,,,,,2,1,1,7,100252,1,0,,700,700,,700,700,,700,700,,700,700,,700,700,,0
小毛贼,,,,,,7,20,5.00,20,30,20,30,100,0,0,0,40,60,30,30,30,30,30,30,40,30,-1,-1,-1,-1,-1,0,5,5,7,100436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1
巨大玛恩摩,石,木,肉,鱼,米,8,27,4.50,50,25,15,8,270,3,90,10,0,0,0,0,0,0,0,0,1,2,,,,,,0,5,0,7,100355,0,1,,300,300,,300,300,,300,300,,300,300,,300,300,,24
九兄弟之一,,,,,,9,20,5.00,20,30,20,30,100,0,0,0,40,60,70,70,70,70,70,70,1,2,60,100,80,90,110,0,5,5,7,100037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1
尊尼,,,,,,10,20,5.00,30,20,30,20,100,0,50,50,0,0,10,10,10,10,10,10,1,2,40,541,30,-1,-1,0,5,5,7,100436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1
布比,肉,鱼,串,卵,盐,11,15,4.50,42,20,16,12,240,5,80,20,0,0,0,0,0,0,0,0,1,,,,,,,0,2,0,5,100254,1,0,,600,600,,600,600,,600,600,,600,600,,600,600,,1
