填空题“80级以上需带着()思议的贝壳”跟黑乌力说话就能登上英雄岛|不可
填空题“使用素材制作料理是()技能”|料理
每年最后一天是12月几号|31
填空题“宠物店可以学习什么也不做的()技能”|待机
填空题“宠物店可以学习把一只恐龙当作是伙伴当场带走的旅程()技能”|伙伴
填空题“大象小象练攻区在()鲁岛”|吉
填空题“用()的羽毛可以单人瞬间飞行至萨姆吉尔村”|精灵
石器时代的“石”笔画几画|5
计算题“2x2x2x2x2”等于|32
计算题“1加5”等于|6
计算题“9除3”等于|3
计算题“9x9”等于|81
明年是西元几年|2005
请猜“管他三七等于多少”|21
11月3日是星期几|星期三
计算题“15除3”等于|5
华义的“华”笔画几画|12
填空题“石器时代7.5版本名称是精灵的()”|召唤
计算题“259加227”等于|486
鹰人－哈沃恩可以学什么特殊技能？|逆转
吉比可以学什么特殊技能？|落马术
请输入：390|390
请输入：cde3|cde3
计算题“12乘5”等于|60
请问在各大村庄内可花石币来增加魅力的NPC名称是?|美容师
日美子的好友是何人?|弥生
在竞技场补血一次需要多少石币？|不用钱
在医院帮宠物恢复体力要多少钱?|不用钱
这个世界钱的单位是以什么计算?|石头
五兄弟的灰人龙名称为?|邦浦洛斯
被长毛象公车撞到会怎样?A不会怎样B飞回出生点C被压扁|A
目前石器中唯一可以射出１０只箭的弓箭是哪一个？|乱射弓
冬季狩猎活动目前是举办第几届？|第一届
填空题[目前组队最大的人数是()人]？|5
填空题“7.5版本中人物转生上限是()转”|6
填空题“石器时代目前属于华()国际旗下游戏”|义
填空题“今年是石器时代()周年纪念”|4
人物六转后可取得之转生宠物是哪一只？|帖伊诺斯
计算题“24除4”等于|6
11月10日是星期几|星期三
请输入：wayi|wayi
宠物技能－镶宝石，克克尔可以学习吗？|可
伊甸园的“伯特”会给予什么挖掘道具？|铲子
萨斯迪比、尼加斯、史奈克特、朱利洛斯。共有几只眼睛？|14
萨斯迪比、尼加斯、史奈克特、朱利洛斯。共有几双眼睛？|7
选择题“鱼缸里有10只鱼，死了2只后鱼缸里还剩下几只”？A8只，B9只，C10只|C
选择题“下列何者为石器的宠物”？A奇犽，B吉比，C骗人布|B
选择题“加加村的古井里面有什么”？A黄董，B庄董，C贞子|B
选择题“信差马祖任务可以得到下列何项物品”？A马祖的枪B马祖的兵单C马祖的名产|A
选择题“伊甸园长帮尤里蛙取了什么名字”？A妙蛙种子B小尤C皮卡丘|B
选择题“与朋友争吵时，需要如何沟通”？A心平气合B大打出手C携带不可思议的贝壳|A
选择题“指南针旁边放什么，会影响指针的准确性”？A忠诚罐头B麻辣火锅C磁铁|C
选择题“古瓜希望成为”？A海贼王B名侦探C料理家|C
填空题“萨村到玛丽娜丝村可乘坐()公车前往”|长毛象
选择题“石器时代的点数卡叫什么名子？”？A我的点，B你的点，C没有点，D以上皆非|D
计算题“54乘7”等于|378
选择题“人物六转后名称显示哪种颜色？”A灰色，B白色，C淡紫色，D红色|A
选择题雷尔任务可取得之宠物为下列哪只？”A哈利恩斯，B黑乌力王，C帖伊诺斯，D布里萨尔|A
计算题“369除4.5”等于|82
计算题“36除6”等于|6
弥生的好友是何人?|日美子
计算题“13乘11”等于|143
选择题“玩家在石器中无法做的动作是”？A晕倒，B睡觉，C悲伤，D投掷|B
选择题“被长毛象公车撞到会怎样”？A损失耐久力，B损失气力，C不会怎样|C
选择题“创造人物的时候有多少角色可以选择”？A10个，B11个，C12个|C
选择题“目前石器时代的包月点数需要多少点？”？A360点B369点C420点|A
选择题“多多村最有价值的东西是”？A木头B啤酒C果实鸡尾酒|C
选择题“要融合宠物蛋，要几只才能融的出来”？A一只B二只C三只|C
选择题“肉粽的说明文是？”？A包肉的粽子B端午节料理C有许多肉的粽子|A
选择题“聊天室大厅叫什么”？A长毛象大厅B格鲁西斯大厅C玛恩摩大厅|A
选择题“乌力斯坦是什么颜色？”？A黑色B黑色跟白色C白色|B
选择题“组队最大的人数是”？A5人B6人C4人|A
选择题“通过海底隧道需要什么？”？A护照B通行证C证明石|B
选择题“美容师给玩家哪一种参数值的改变呢？”？A魅力B气力C智力|A
选择题“玩家互相比试应要叫做什么？”？A决斗B打斗C比武D竞争|A
选择题“长毛象公车会在公车站停留多久时间”？A3分B4分C5分D2分|A
选择题“动物园任务中的里拉拉绰号是？”？A拉拉，B啦啦，C鲁拉拉，D没有绰号|B
选择题“神秘老人任务中的幻影之界共有几层”？A3层，B4层，C5层|C
选择题“目前版本中融合宠的转生上限是几转？”A一转，B二转，C三转，D以上皆非|D
选择题“下列选项何者为目前版本新增任务”？A精灵召唤，B精灵王传说，C再见黑暗精灵王|A
选择题“怎样才能搭乘长毛象公车”？A加入团队，B攻击，C爬到长毛象身上，D无法搭乘|A
计算题“7x7”等于|49
